,lat,lon
0,55.8417,37.184398
1,55.8417,37.184398
2,55.832052,37.219755
3,55.832052,37.219755
4,55.824536,37.242917
5,55.824536,37.242917
6,55.814206,37.304432
7,55.814206,37.304432
8,55.815203,37.341826
9,55.815203,37.341826
10,55.821313,37.360573
11,55.821313,37.360573
12,55.832542,37.383578
13,55.832542,37.383578
14,55.833014,37.399193
15,55.833014,37.399193
16,55.827962,37.438083
17,55.827962,37.438083
18,55.813827,37.475248
19,55.813827,37.475248
20,55.815257,37.487806
21,55.815257,37.487806
22,55.815346,37.526905
23,55.815346,37.526905
24,55.805255,37.553989
25,55.805255,37.553989
26,55.807953,37.578716
27,55.807953,37.578716
28,55.793959,37.63854
29,55.793959,37.63854
30,55.776,37.651573
31,55.776,37.651573
32,55.758135,37.662046
33,55.758135,37.662046
34,55.745381,37.68869
35,55.745381,37.68869
36,55.733948,37.702089
37,55.733948,37.702089
38,55.724065,37.714013
39,55.724065,37.714013
40,55.707525,37.729438
41,55.707525,37.729438
42,55.684779,37.733799
43,55.684779,37.733799
44,55.674319,37.728198
45,55.674319,37.728198
46,55.66141,37.717161
47,55.66141,37.717161
48,55.650218,37.701704
49,55.650218,37.701704
50,55.640282,37.689182
51,55.640282,37.689182
52,55.618345,37.668549
53,55.618345,37.668549
54,55.602773,37.631932
55,55.602773,37.631932
56,55.589362,37.614868
57,55.589362,37.614868
58,55.5711,37.611359
59,55.5711,37.611359
60,55.541471,37.570847
61,55.541471,37.570847
62,55.510429,37.562322
63,55.510429,37.562322
64,55.486036,37.555124
65,55.486036,37.555124
66,55.470521,37.55544
67,55.470521,37.55544
68,55.432003,37.565674
69,55.432003,37.565674
70,55.814401,37.734003
71,55.814401,37.734003
72,55.803789,37.744732
73,55.803789,37.744732
74,55.79607,37.715635
75,55.79607,37.715635
76,55.789255,37.679737
77,55.789255,37.679737
78,55.779955,37.665966
79,55.779955,37.665966
80,55.774274,37.65616
81,55.774274,37.65616
82,55.7688,37.649117
83,55.7688,37.649117
84,55.764665,37.638704
85,55.764665,37.638704
86,55.759287,37.626886
87,55.759287,37.626886
88,55.757377,37.615938
89,55.757377,37.615938
90,55.751584,37.610058
91,55.751584,37.610058
92,55.745346,37.603835
93,55.745346,37.603835
94,55.735513,37.594394
95,55.735513,37.594394
96,55.727454,37.5805
97,55.727454,37.5805
98,55.72305,37.563801
99,55.72305,37.563801
100,55.710238,37.559252
101,55.710238,37.559252
102,55.692587,37.534785
103,55.692587,37.534785
104,55.676665,37.505608
105,55.676665,37.505608
106,55.663644,37.483206
107,55.663644,37.483206
108,55.645376,37.473393
109,55.645376,37.473393
110,55.63296,37.441477
111,55.63296,37.441477
112,55.621404,37.423548
113,55.621404,37.423548
114,55.601407,37.407569
115,55.601407,37.407569
116,55.586198,37.433827
117,55.586198,37.433827
118,55.568672,37.459231
119,55.568672,37.459231
120,55.559148,37.468969
121,55.559148,37.468969
122,55.878275,37.480774
123,55.878275,37.480774
124,55.865423,37.47541
125,55.865423,37.47541
126,55.854938,37.476168
127,55.854938,37.476168
128,55.839856,37.486832
129,55.839856,37.486832
130,55.8185,37.498055
131,55.8185,37.498055
132,55.805029,37.515247
133,55.805029,37.515247
134,55.800606,37.53222
135,55.800606,37.53222
136,55.789701,37.558222
137,55.789701,37.558222
138,55.777285,37.582201
139,55.777285,37.582201
140,55.770273,37.595644
141,55.770273,37.595644
142,55.764599,37.605686
143,55.764599,37.605686
144,55.757742,37.618893
145,55.757742,37.618893
146,55.742332,37.629086
147,55.742332,37.629086
148,55.730466,37.637256
149,55.730466,37.637256
150,55.707675,37.657528
151,55.707675,37.657528
152,55.693909,37.66443
153,55.693909,37.66443
154,55.677875,37.663708
155,55.677875,37.663708
156,55.655119,37.648274
157,55.655119,37.648274
158,55.655047,37.649428
159,55.655047,37.649428
160,55.635748,37.656498
161,55.635748,37.656498
162,55.621018,37.669458
163,55.621018,37.669458
164,55.613408,37.694521
165,55.613408,37.694521
166,55.610596,37.718039
167,55.610596,37.718039
168,55.613796,37.744474
169,55.613796,37.744474
170,55.632887,37.76631
171,55.632887,37.76631
172,55.80953,37.798634
173,55.80953,37.798634
174,55.794575,37.79932
175,55.794575,37.79932
176,55.787674,37.781639
177,55.787674,37.781639
178,55.788498,37.749603
179,55.788498,37.749603
180,55.783056,37.719374
181,55.783056,37.719374
182,55.782124,37.705438
183,55.782124,37.705438
184,55.772352,37.678787
185,55.772352,37.678787
186,55.75783,37.657828
187,55.75783,37.657828
188,55.756676,37.622085
189,55.756676,37.622085
190,55.752284,37.604662
191,55.752284,37.604662
192,55.747894,37.583569
193,55.747894,37.583569
